objectid,filename,title,contributor,chemical composition,date,description,subject,color,luster,streak,Mohs hardness,cleavage,Crystal structure,location,latitude,longitude,source,format
coll011,IMG_2156.jpeg,Pyrite,Irene Lewis,Sulfide,2018-09,This is an image of three inch piece of pyrite also known as Fool’s Gold.,Minerals ,Gold,Metallic,Greenish black to brownish balck,6 to 6.5,Breaks with conchoidal fracture,Isometric,Peru,-11.80877354,-76.94913708,Travis Jackson’s Mineral and Rock Collection,Image/jpeg
coll012,IMG_2158.jpeg,Larimar,Irene Lewis,Silicate,2018-10,This is an image of one inch piece of larimar.,Minerals ,Blue and White,Vitreous to silky,White,4.5 to 5,Perfect in two directions,Triclinic,Dominican Republic,18.60930085,-69.92760645,Travis Jackson’s Mineral and Rock Collection,Image/jpeg
coll013,IMG_2162.jpeg,Septarian,Irene Lewis,"Calcite, Aragonite, Clay",2019-03,"This is an image of flame sculpture of septarian, which is a concretion - a fossil formed out of mud.",Rock,Green and Brown,Dull calcite; pearly; vitreous,N/A,3 to 4,N/A,None; trigonal for calcite,"Utah, USA",40.8714876,-111.7361942,Travis Jackson’s Mineral and Rock Collection,Image/jpeg
coll014,IMG_2166.jpeg,Obsidian ,Irene Lewis,Igneous Rock; glass,2019-07,These are two round specimens of volcanic glass also known as Apache tears.,Rock,Black ,Vitreous,White,5,N/A,N/A,"Nevada, USA",39.22465709,-119.9054761,Travis Jackson’s Mineral and Rock Collection,Image/jpeg
coll015,IMG_2168.jpeg,Copper,Irene Lewis,Native Element,2019-08,These are three pieces of one inch pieces of copper in its natural form.,Minerals ,Bronze,Metallic,Metallic copper red,2.5 to 3,None,Isometric,"Michigan, USA",42.84184723,-84.55825739,Travis Jackson’s Mineral and Rock Collection,Image/jpeg
Coll016,IMG_2179.jpeg,Tiger’s Eye,Irene Lewis,Silicate,2019-09,These are two specimens of tiger’s eye in its polished (L) and rough (R) forms.,Minerals ,"Yellow, Black, and Brown",Vitreous to silky,Colorless,7,Indistinct,Hexagonal,South Africa,-32.97912903,17.93479025,Travis Jackson’s Mineral and Rock Collection,Image/jpeg
coll017,IMG_2182.jpeg,Carnelian,Irene Lewis,Silica,2020-01,These are two polished (L) and rough (R) specimens of carnelian.,Minerals ,Red and White,Vitreous; Dull; greasy; silky,White,6 to 7,None,Trigonal,India,28.35428363,76.88712416,Travis Jackson’s Mineral and Rock Collection,Image/jpeg
coll018,IMG_2185.jpeg,Leopard Skin Jasper,Irene Lewis,Silicate,2020-02,This is a four inch piece of leopard skin jasper.,Minerals ,"Red, White, and Black",Vitreous,Colorless,6.5 to 7,Indistinct,Hexagonal,Mexico,19.69467414,-99.25981763,Travis Jackson’s Mineral and Rock Collection,Image/jpeg
coll019,IMG_2187.jpeg,Aquamarine,Irene Lewis,Silicate,2020-06,This is a two inch polished piece of an aquamarine crystal.,Minerals ,Light Blue,Vitreous,Colorless,7.5 to 8,Imperfect,Hexagonal,Brazil,-15.84344799,-46.69777208,Travis Jackson’s Mineral and Rock Collection,Image/jpeg
coll020,IMG_2188.jpeg,Aragonite,Irene Lewis,Carbonate,2021-01,This is a four inch piece of crystallized aragonite.,Minerals ,Orange,Vitreous,White,3.5 to 4,Good or poor,Orthorhombic,Mexico,19.69467414,-99.25981763,Travis Jackson’s Mineral and Rock Collection,Image/jpeg
coll021,IMG_2190.jpeg,Ulexite,Irene Lewis,Nesoborate,2021-01,This is a three inch piece of ulexite also known as T.V. stone.,Minerals ,White,Vitreous; silky,White,2.5,{010} Perfect; {110} Perfect,Triclinic,"California, USA",38.70427873,-121.6511328,Travis Jackson’s Mineral and Rock Collection,Image/jpeg
coll022,IMG_2191.jpeg,Amazonite,Irene Lewis,Silicate; Tectosilicate,2021-02,These are the rough (L) and polished (R) forms of Amazonite also known as Amazonstone.,Minerals ,Green,Vitreous,White,6 to 6.5,Perfect in two directions,Triclinic,Brazil,-15.84344799,-46.69777208,Travis Jackson’s Mineral and Rock Collection,Image/jpeg
